	index	raw_category	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	OpenSceneMatterport3D40Label	OpenSceneMatterport3D40Index	OpenSceneMatterport3D40Count	OpenSceneMatterport3D80Label	OpenSceneMatterport3D80Index	OpenSceneMatterport3D80Count	OpenSceneMatterport3D160Label	OpenSceneMatterport3D160Index	OpenSceneMatterport3D160Count
29	30	column	pillar	243	94.0	38.0	7.0	column	otherstructure	Objects					n03073977	column.n.07	24	column	column	22	243	column	22	243	column	22	243
30	31	handrail	handrail	241	453.0	38.0	7.0	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing	banister	23	241	banister	23	241	banister	23	241
31	32	stair	stair	241	215.0	38.0	7.0	stairs	otherstructure	Objects	stairs				n04314914	step.n.04	16	stairs	stairs	24	241	stairs	24	241	stairs	24	241
32	33	stool	stool	232	150.0	40.0	7.0	stool	otherprop	Objects	stool				n04326896	stool.n.01	19	stool	stool	25	232	stool	25	232	stool	25	232
33	34	armchair	armchair	224	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n02738535	armchair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
34	35	kitchen cabinet	kitchen cabinet	212	3.0	3.0	6.0	cabinet	cabinet	Furniture					n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
35	36	vase	vase	205	78.0	40.0	7.0	vase	otherprop	Objects	vase		jar	3593526.0	n04522168	vase.n.01	39	objects	vase	26	205	vase	26	205	vase	26	205
36	37	cushion	cushion	204	119.0	18.0	7.0	pillow	pillow	Objects					n03151500	cushion.n.03	8	cushion	pillow	8	1335	pillow	8	1335	pillow	8	1335
37	38	tv	tv	204	172.0	25.0	11.0	television	television	TV			tv or monitor	3211117.0	n03211117	display.n.06	22	tv_monitor	television	27	204	television	27	204	television	27	204
38	39	door frame	door frame	190	28.0	8.0	12.0	door	door	Wall	door				n03221720	door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
39	40	unknown	unknown	186	20.0	40.0	7.0	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled		0	0		0	0		0	0
40	41	pot	pot	185	16.0	40.0	7.0	pot	otherprop	Objects					n03991062	pot.n.04	39	objects	pot	28	185	pot	28	185	pot	28	185
41	42	desk	desk	187	36.0	14.0	10.0	desk	desk	Table	desk	desk	table	4379243.0	n03179701	desk.n.01	5	table	desk	29	187	desk	29	187	desk	29	187
42	43	painting	picture	194	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
43	44	roof	roof	173	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n04105068	roof.n.01	17	ceiling	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
44	45	box	box	172	26.0	29.0	7.0	box	box	Objects					n02883344	box.n.01	39	objects	box	30	172	box	30	172	box	30	172
45	46	shower wall	shower wall	168	21.0	1.0	12.0	wall	wall	Wall					n04208936	shower.n.01	23	shower	wall	1	7667	wall	1	7667	wall	1	7667
46	47	coffee table	coffee table	159	356.0	39.0	6.0	coffee table	otherfurniture	Furniture	table	table	table	4379243.0	n03063968	coffee_table.n.01	5	table	coffee table	31	159	coffee table	31	159	coffee table	31	159
47	48	countertop	countertop	159	7.0	12.0	6.0	counter	counter	Furniture					n03118245	countertop.n.01	26	counter	counter	32	159	counter	32	159	counter	32	159
48	49	bench	bench	154	204.0	39.0	6.0	bench	otherfurniture	Furniture	bench		bench	2828884.0	n02828884	bench.n.01	34	seating	bench	33	154	bench	33	154	bench	33	154
49	50	wall frame	picture	142	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
50	51	trash can	trashcan	131	12.0	39.0	6.0	garbage bin	otherfurniture	Furniture			trash_bin	2747177.0	n02747177	ashcan.n.01	39	objects	garbage bin	34	131	garbage bin	34	131	garbage bin	34	131
51	52	fireplace	fireplace	128	372.0	38.0	7.0	fireplace	otherstructure	Objects					n03346455	fireplace.n.01	27	fireplace	fireplace	35	128	fireplace	35	128	fireplace	35	128
52	53	clothes	clothes	125	141.0	21.0	7.0	clothes	clothes	Objects					n02728440	apparel.n.01	38	clothes	clothes	36	125	clothes	36	125	clothes	36	125
53	54	pillar	pillar	117	94.0	38.0	7.0	column	otherstructure	Objects					n03073977	column.n.07	24	column	column	22	243	column	22	243	column	22	243
54	55	bathtub	bathtub	121	136.0	36.0	7.0	bathtub	bathtub	Objects	bathtub	bathtub	tub	2808440.0	n02808440	bathtub.n.01	25	bathtub	bathtub	37	121	bathtub	37	121	bathtub	37	121
55	56	ceiling duct	ceiling duct	110	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
56	57	bath cabinet	bath cabinet	111	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
57	58	book	book	104	1.0	23.0	2.0	book	books	Books					n02870526	book.n.11	39	objects	book	38	104	book	38	104	book	38	104
58	59	beam	beam	101		38.0	7.0		otherstructure	Objects					n02815950	beam.n.02	29	beam		0	0		0	0		0	0
59	60	vent	vent	101	25.0	38.0	7.0	air vent	otherstructure	Objects					n04526241	vent.n.01	40	misc	air vent	39	101	air vent	39	101	air vent	39	101
60	61	shower floor	shower floor	97	11.0	2.0	5.0	floor	floor	Floor					n04208936	shower.n.01	23	shower	floor	4	2252	floor	4	2252	floor	4	2252
61	62	faucet	faucet	97	9.0	40.0	7.0	faucet	otherprop	Objects			faucet	3325088.0	n03325088	faucet.n.01	39	objects	faucet	40	97	faucet	40	97	faucet	40	97
62	63	photo	photo	100	508.0	40.0	7.0	photo	otherprop	Objects					n03925226	photograph.n.01	6	picture		0	0	photo	41	100	photo	41	100
63	64	delete	remove	90	0.0	0.0	0.0	void	void	void							0	void		0	0		0	0		0	0
64	65	toilet paper	toilet paper	90	139.0	40.0	7.0	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01	39	objects		0	0	toilet paper	42	90	toilet paper	42	90
65	66	counter	counter	91	7.0	12.0	6.0	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	26	counter	counter	32	159	counter	32	159	counter	32	159
66	67	fan	fan	85	74.0	40.0	7.0	fan	otherprop	Objects					n03320046	fan.n.01	39	objects		0	0	fan	43	85	fan	43	85
67	68	step	step	86		38.0	7.0		otherstructure	Objects					n04314914	step.n.04	16	stairs		0	0		0	0		0	0
68	69	table lamp	table lamp	96	144.0	35.0	7.0	lamp	lamp	Objects	lamp		lamp	3636649.0	n04380533	table_lamp.n.01	28	lighting	lamp	9	967	lamp	9	967	lamp	9	967
69	70	wall / other room	wall /otherroom	84	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
70	71	washbasin	washbasin	91	24.0	34.0	7.0	sink	sink	Objects	sink				n04553920	washbasin.n.01	15	sink	sink	16	417	sink	16	417	sink	16	417
71	72	rail	railing	83	497.0	38.0	7.0	railing	otherstructure	Objects					n04047401	railing.n.01	30	railing		0	0	railing	44	83	railing	44	83
72	73	side table	table	85	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
73	74	decor	decoration	79		40.0	7.0		otherprop	Objects					n03169390	decoration.n.01	39	objects		0	0		0	0		0	0
74	75	shelves	shelving	79	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
75	76	statue	statue	78	294.0	40.0	7.0	sculpture	otherprop	Objects					n04306847	statue.n.01	39	objects		0	0	sculpture	45	78	sculpture	45	78
76	77	dresser	dresser	79	169.0	17.0	6.0	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers		0	0	dresser	46	79	dresser	46	79
77	78	stairs	stair	76	215.0	38.0	7.0	stairs	otherstructure	Objects	stairs				n04314914	step.n.04	16	stairs	stairs	24	241	stairs	24	241	stairs	24	241
78	79	rug	rug	77	130.0	40.0	7.0	rug	floor mat	Objects					n04118021	rug.n.01	2	floor		0	0	rug	47	77	rug	47	77
79	80	ottoman	ottoman	79	359.0	39.0	6.0	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool		0	0	ottoman	48	79	ottoman	48	79
80	81	round table	table	74	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
81	82	bottle	bottle	101	2.0	40.0	7.0	bottle	otherprop	Objects	bottle		bottle	2876657.0	n02876657	bottle.n.01	39	objects		0	0	bottle	49	101	bottle	49	101
82	83	kitchen counter	kitchen counter	73	7.0	12.0	6.0	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	26	counter	counter	32	159	counter	32	159	counter	32	159
83	84	windowframe	window frame	66	59.0	9.0	13.0	window	window	Window					n04589593	window_frame.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
84	85	office chair	office chair	70	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n04373704	swivel_chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
85	86	frame	frame	66		38.0	7.0		otherstructure	Objects							40	misc		0	0		0	0		0	0
86	87	refrigerator	refrigerator	65	17.0	24.0	6.0	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	37	appliances		0	0	refridgerator	50	65	refridgerator	50	65
87	88	bookshelf	bookshelf	63	88.0	10.0	6.0	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439.0	n02871439	bookshelf.n.01	31	shelving		0	0	bookshelf	51	63	bookshelf	51	63
88	89	end table	end table	67	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
89	90	wardrobe	wardrobe	64	772.0	39.0	6.0	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01	36	furniture		0	0	wardrobe	52	64	wardrobe	52	64
90	91	toiletry	toiletry	63		40.0	7.0		otherprop	Objects					n04447443	toiletry.n.01	39	objects		0	0		0	0		0	0
91	92	windowsill	window frame	62	59.0	9.0	13.0	window	window	Window					n04589593	window_frame.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
92	93	pipe	pipe	62	41.0	40.0	7.0	pipe	otherprop	Objects					n03944672	pipe.n.02	40	misc		0	0	pipe	53	62	pipe	53	62
93	94	monitor	monitor	60	49.0	40.0	7.0	monitor	otherprop	Objects	monitor	monitor	tv or monitor	3211117.0	n03782190	monitor.n.04	22	tv_monitor		0	0	monitor	54	60	monitor	54	60
94	95	stand	stand	62	50.0	39.0	6.0	stand	otherfurniture	Furniture	table	table	table	4379243.0	n04301000	stand.n.04	5	table		0	0	stand	55	62	stand	55	62
95	96	drawers	drawer	60	174.0	39.0	6.0	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers		0	0	drawer	56	60	drawer	56	60
96	97	dining table	dining table	61	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
97	98	container	container	59	140.0	40.0	7.0	container	otherprop	Objects					n03094503	container.n.01	39	objects		0	0	container	57	59	container	57	59
98	99	light switch	light switch	59	301.0	38.0	7.0	light switch	otherstructure	Objects					n04372370	switch.n.01	39	objects		0	0	light switch	58	59	light switch	58	59
99	100	skylight	skylight	57	59.0	9.0	13.0	window	window	Window					n04232800	skylight.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
100	101	purse	purse	57	181.0	40.0	7.0	purse	otherprop	Objects					n02774152	bag.n.04	39	objects		0	0	purse	59	57	purse	59	57
101	102	wall /otherroom	wall /otherroom	55	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
102	103	sofa	couch	56	83.0	6.0	9.0	sofa	sofa	Sofa	sofa	sofa	sofa	4256520.0	n04256520	sofa.n.01	10	sofa	sofa	18	290	sofa	18	290	sofa	18	290
103	104	books	book	53	1.0	23.0	2.0	book	books	Books					n02870526	book.n.11	39	objects	book	38	104	book	38	104	book	38	104
104	105	doorway	doorway	54	609.0	38.0	7.0	door way	otherstructure	Objects	door				n03224032	doorway.n.01	4	door		0	0	door way	60	54	door way	60	54
105	106	railing	railing	52	497.0	38.0	7.0	railing	otherstructure	Objects					n04047401	railing.n.01	30	railing		0	0	railing	44	83	railing	44	83
106	107	wainscotting	paneling	52	21.0	1.0	12.0	wall	wall	Wall					n03882611	paneling.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
107	108	basket	basket	52	39.0	40.0	7.0	basket	otherprop	Objects			basket	2801938.0	n02801938	basket.n.01	39	objects		0	0	basket	61	52	basket	61	52
108	109	closet	closet	50		40.0	7.0		otherprop	Objects					n03148324	cupboard.n.01	7	cabinet		0	0		0	0		0	0
109	110	arch	arch	48		40.0	7.0		otherprop	Objects					n02733524	arch.n.04	40	misc		0	0		0	0		0	0
110	111	chandelier	chandelier	48	342.0	38.0	7.0	chandelier	otherstructure	Objects					n03005285	chandelier.n.01	28	lighting		0	0	chandelier	62	48	chandelier	62	48
111	112	oven	oven	47	238.0	38.0	7.0	oven	otherstructure	Objects					n03862676	oven.n.01	37	appliances		0	0	oven	63	47	oven	63	47
112	113	clock	clock	47	56.0	40.0	7.0	clock	otherprop	Objects			clock	3046257.0	n03046257	clock.n.01	39	objects		0	0	clock	64	47	clock	64	47
113	114	footstool	footstool	48	359.0	39.0	6.0	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool		0	0	ottoman	48	79	ottoman	48	79
114	115	stove	stove	44	242.0	38.0	7.0	stove	otherstructure	Objects			stove	4330267.0	n04330267	stove.n.02	37	appliances		0	0	stove	65	44	stove	65	44
115	116	trashcan	trashcan	44	12.0	39.0	6.0	garbage bin	otherfurniture	Furniture			trash_bin	2747177.0	n02747177	ashcan.n.01	39	objects	garbage bin	34	131	garbage bin	34	131	garbage bin	34	131
116	117	drawer	drawer	45	174.0	39.0	6.0	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers		0	0	drawer	56	60	drawer	56	60
117	118	bathroom countertop object	object	43		40.0	7.0		otherprop	Objects					n00002684	object.n.01	39	objects		0	0		0	0		0	0
118	119	washing machine	washing machine	43	278.0	39.0	6.0	washing machine	otherfurniture	Furniture			washing_machine	4554684.0	n04554684	washer.n.03	37	appliances		0	0	washing machine	66	43	washing machine	66	43
119	120	shower curtain	shower curtain	43	123.0	28.0	7.0	shower curtain	shower curtain	Objects	curtain				n04209239	shower_curtain.n.01	12	curtain		0	0	shower curtain	67	43	shower curtain	67	43
120	121	rack	rack	41	50.0	39.0	6.0	stand	otherfurniture	Furniture					n04038440	rack.n.05	31	shelving		0	0	stand	55	62	stand	55	62
121	122	art	picture	40	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
122	123	firealarm	fire alarm	37	338.0	40.0	7.0	fire alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects		0	0	fire alarm	68	37	fire alarm	68	37
123	124	bin	bin	37	307.0	40.0	7.0	bin	otherprop	Objects					n02839910	bin.n.01	39	objects		0	0	bin	69	37	bin	69	37
124	125	chest	chest	36	344.0	39.0	6.0	chest	otherfurniture	Furniture	dresser	dresser					40	misc		0	0	chest	70	36	chest	70	36
125	126	microwave	microwave	36	13.0	40.0	7.0	microwave	otherprop	Objects			microwave	3761084.0	n03761084	microwave.n.02	37	appliances		0	0	microwave	71	36	microwave	71	36
126	127	blinds	blinds	36	80.0	13.0	13.0	blinds	blinds	Window					n04589190	window_blind.n.01	32	blinds		0	0	blinds	72	36	blinds	72	36
127	128	bowl	bowl	35	22.0	40.0	7.0	bowl	otherprop	Objects	bowl		bowl	2880940.0	n02880940	bowl.n.03	39	objects		0	0	bowl	73	35	bowl	73	35
128	129	ceiling pipe	ceiling pipe	34	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
129	130	tree	tree	34	82.0	40.0	7.0	plant	otherprop	Objects	plant				n13104059	tree.n.01	14	plant	plant	13	632	plant	13	632	plant	13	632
130	131	vanity	vanity	34	169.0	17.0	6.0	dresser	dresser	Furniture	dresser	dresser	table	4379243.0	n03238586	dressing_table.n.01	5	table		0	0	dresser	46	79	dresser	46	79
131	132	ceiling fan	ceiling fan	37	74.0	40.0	7.0	fan	otherprop	Objects					n03320046	fan.n.01	39	objects		0	0	fan	43	85	fan	43	85
132	133	tissue box	tissue box	34	138.0	40.0	7.0	tissue box	otherprop	Objects					n02883344	box.n.01	39	objects		0	0	tissue box	74	34	tissue box	74	34
133	134	desk chair	desk chair	34	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
134	135	plate	plate	32	233.0	40.0	7.0	plate	otherprop	Objects					n03959485	plate.n.04	39	objects		0	0	plate	75	32	plate	75	32
135	136	tv stand	tv stand	32	291.0	39.0	6.0	tv stand	otherfurniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	36	furniture		0	0	tv stand	76	32	tv stand	76	32
136	137	shoes	shoe	32	149.0	40.0	7.0	shoe	otherprop	Objects					n04199027	shoe.n.01	39	objects		0	0	shoe	77	32	shoe	77	32
137	138	heater	heater	32	111.0	39.0	6.0	heater	otherfurniture	Furniture					n03508101	heater.n.01	39	objects		0	0	heater	78	32	heater	78	32
138	139	bedframe	bedframe	33	157.0	4.0	1.0	bed	bed	Bed					n02822579	bedstead.n.01	11	bed	bed	19	270	bed	19	270	bed	19	270
139	140	headboard	headboard	33	161.0	39.0	6.0	headboard	otherfurniture	Furniture					n03502200	headboard.n.01	11	bed		0	0	headboard	79	33	headboard	79	33
140	141	post	post	32	94.0	38.0	7.0	column	otherstructure	Objects					n03988170	post.n.04	24	column	column	22	243	column	22	243	column	22	243
141	142	swivel chair	swivel chair	31	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n04373704	swivel_chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
142	143	pedestal	pedestal	31	50.0	39.0	6.0	stand	otherfurniture	Furniture							40	misc		0	0	stand	55	62	stand	55	62
143	144	fence	fence	31		38.0	7.0		otherstructure	Objects					n03327234	fence.n.01	40	misc		0	0		0	0		0	0
144	145	ceiling pipes	ceiling pipe	30	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
145	146	pew	pew	28	204.0	39.0	6.0	bench	otherfurniture	Furniture	bench		bench	2828884.0	n03920867	pew.n.01	34	seating	bench	33	154	bench	33	154	bench	33	154
146	147	decorative object	decoration	28		40.0	7.0		otherprop	Objects					n03169390	decoration.n.01	39	objects		0	0		0	0		0	0
147	148	bucket	bucket	28	427.0	40.0	7.0	bucket	otherprop	Objects					n02909870	bucket.n.01	39	objects		0	0	bucket	80	28	bucket	80	28
148	149	mask	decorative mask	27		40.0	7.0		otherprop	Objects					n03169390	decoration.n.01	39	objects		0	0		0	0		0	0
149	150	candle	candle	27	137.0	40.0	7.0	candle	otherprop	Objects	lamp				n02948072	candle.n.01	39	objects		0	0		0	0	candle	81	27
150	151	flowerpot	flowerpot	28	146.0	40.0	7.0	flower pot	otherprop	Objects	flower_pot		flower pot	3991062.0	n03991062	pot.n.04	39	objects		0	0		0	0	flower pot	82	28
151	152	speaker	speaker	27	54.0	40.0	7.0	speaker	otherprop	Objects			speaker	3691459.0	n03691459	loudspeaker.n.01	39	objects		0	0		0	0	speaker	83	27
152	153	seat	seat	26	524.0	39.0	6.0	furniture	otherfurniture	Furniture					n04161981	seat.n.03	34	seating		0	0		0	0	furniture	84	26
153	154	sign	sign	25	208.0	40.0	7.0	sign	otherprop	Objects					n04217882	signboard.n.01	40	misc		0	0		0	0	sign	85	25
154	155	air conditioner	air conditioner	26	79.0	38.0	7.0	air conditioner	otherstructure	Objects					n02686379	air_conditioner.n.01	39	objects		0	0		0	0	air conditioner	86	26
155	156	shower curtain rod	shower curtain rod	25		40.0	7.0		otherprop	Objects					n04100174	rod.n.01	12	curtain		0	0		0	0		0	0
156	157	unknown / other room	unknown /otherroom	24	20.0	40.0	7.0	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled		0	0		0	0		0	0
157	158	flowers	plant	25	82.0	40.0	7.0	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant	plant	13	632	plant	13	632	plant	13	632
158	159	clutter	clutter	24		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
159	160	pillows	pillow	24	119.0	18.0	7.0	pillow	pillow	Objects			pillow	3938244.0	n03938244	pillow.n.01	8	cushion	pillow	8	1335	pillow	8	1335	pillow	8	1335
160	161	plants	plant	24	82.0	40.0	7.0	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant	plant	13	632	plant	13	632	plant	13	632
161	162	wall \other room	wall /otherroom	24	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
162	163	fire extinguisher	fire extinguisher	24	10.0	40.0	7.0	fire extinguisher	otherprop	Objects					n03345837	fire_extinguisher.n.01	39	objects		0	0		0	0	fire extinguisher	87	24
163	164	towels	towel	24	135.0	27.0	7.0	towel	towel	Objects					n04459362	towel.n.01	20	towel	towel	15	437	towel	15	437	towel	15	437
164	165	curtains	curtain	23	89.0	16.0	13.0	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain	curtain	11	692	curtain	11	692	curtain	11	692
165	166	curtain rod	curtain rod	23	582.0	38.0	7.0	curtain rod	otherstructure	Objects					n04100174	rod.n.01	12	curtain		0	0		0	0	curtain rod	88	23
166	167	kitchen countertop object	object	23		40.0	7.0		otherprop	Objects					n00002684	object.n.01	39	objects		0	0		0	0		0	0
